trade_date,上证综指,深证成指,沪深300,创业板指,上证50,中证500,中小板指,上证180
2018-06-14,3044.1597,10084.1825,3773.3655,1673.3194,2671.2975,5586.9314,6914.3413,8117.1135
2018-06-15,3021.9008,9943.1268,3753.4338,1641.6627,2667.9751,5483.9446,6817.1484,8089.7671
2018-06-19,2907.8221,9414.7576,3621.1166,1547.1453,2599.7801,5141.7095,6488.8964,7847.5557
2018-06-20,2915.7314,9501.3366,3635.4436,1563.7925,2598.328,5198.3935,6559.4851,7855.6286
2018-06-21,2875.8099,9316.6758,3592.965,1521.6761,2579.0517,5089.2522,6421.0799,7786.4459
2018-06-22,2889.7603,9409.953,3608.9046,1549.6605,2583.708,5160.1228,6498.969,7811.2258
2018-06-25,2859.3364,9324.8315,3560.4777,1538.565,2536.4599,5125.0333,6447.0941,7691.6769
2018-06-26,2844.5081,9339.3704,3531.1112,1564.9174,2506.7166,5160.2829,6460.8857,7617.525
2018-06-27,2813.1775,9168.6614,3459.2621,1546.2315,2452.6386,5109.4975,6327.4029,7482.07
2018-06-28,2786.8966,9071.7291,3423.5255,1543.6637,2425.1758,5055.1093,6260.8091,7408.4823
2018-06-29,2847.4181,9379.4749,3510.9845,1606.7147,2479.9115,5217.7643,6477.7647,7571.9502
2018-07-02,2775.557,9179.7955,3407.9638,1588.3739,2386.3765,5138.7826,6369.7366,7336.9394
2018-07-03,2786.8878,9221.5357,3409.2801,1607.1223,2388.9763,5197.1313,6370.9123,7346.7178
2018-07-04,2759.126,9035.486,3363.7473,1565.6104,2368.4251,5121.3436,6250.074,7279.3204
2018-07-05,2733.8819,8862.1773,3342.4379,1532.6789,2374.3553,4982.7627,6121.3244,7263.4989
2018-07-06,2747.2285,8911.3415,3365.1227,1541.3135,2402.617,4996.6299,6162.2917,7315.6025
2018-07-09,2815.1095,9160.6208,3459.1837,1581.9302,2471.2851,5107.5507,6345.3346,7505.0188
2018-07-10,2827.6252,9205.426,3467.5155,1592.9761,2471.2299,5136.5326,6389.767,7514.8211
2018-07-11,2777.7711,9023.8198,3407.5297,1563.0085,2432.2785,5036.1565,6286.9324,7388.9465
2018-07-12,2837.6586,9273.6136,3481.0559,1614.6324,2474.6247,5172.5032,6463.2523,7530.8829
2018-07-13,2831.1837,9326.9668,3492.6897,1618.4632,2476.8642,5204.1855,6504.0195,7547.2931
2018-07-16,2814.0418,9317.3554,3472.0859,1616.9125,2448.765,5195.2002,6501.3817,7483.3018
2018-07-17,2798.1259,9285.1626,3449.3773,1621.6318,2430.4445,5196.1969,6481.0941,7431.7718
2018-07-18,2787.257,9195.2393,3431.3227,1607.8841,2420.7591,5156.6363,6410.6668,7407.3614
2018-07-19,2772.5454,9148.7819,3428.343,1590.0633,2426.1628,5111.3271,6396.1422,7397.4169
2018-07-20,2829.2712,9251.4803,3492.8938,1609.5479,2493.765,5175.2516,6479.2101,7574.6969
2018-07-23,2859.5424,9314.3036,3525.7503,1620.9733,2526.8127,5214.0038,6528.1238,7662.9377
2018-07-24,2905.5618,9465.8021,3581.7057,1629.6096,2563.5835,5304.641,6606.3271,7780.1275
2018-07-25,2903.6467,9463.7599,3577.7522,1632.3204,2563.6871,5308.6569,6605.9856,7779.3935
2018-07-26,2882.2254,9352.2508,3536.2456,1606.1153,2530.9913,5273.4789,6499.0914,7695.2814
2018-07-27,2873.5938,9295.9295,3521.2269,1594.5674,2525.0915,5249.2904,6468.8719,7666.443
2018-07-30,2869.0495,9181.9403,3515.0794,1559.6408,2541.3081,5185.151,6373.8056,7684.1973
2018-07-31,2876.4009,9178.7806,3517.6568,1561.2576,2545.1243,5188.7166,6352.4803,7693.1574
2018-08-01,2824.5337,9005.3729,3447.3882,1541.8601,2490.2454,5105.3741,6240.2238,7541.0652
2018-08-02,2768.0239,8780.5565,3370.9579,1510.0876,2440.3127,4996.012,6084.9413,7391.0268
2018-08-03,2740.4429,8602.1178,3315.2839,1481.6065,2413.5032,4929.75,5942.0019,7298.4174
2018-08-06,2705.1565,8422.839,3273.2728,1440.7955,2406.5365,4825.2508,5796.3589,7227.1562
2018-08-07,2779.374,8674.0253,3368.8695,1479.4408,2479.7796,4956.8718,5959.9982,7429.0429
