trade_date,close,open,北向资金
2016-12-30,3310.0808,3302.5993,100.0
2017-01-03,3342.2272,3313.9534,33.02
2017-01-04,3368.3117,3340.5576,-719.15
2017-01-05,3367.7892,3368.3402,-278.84
2017-01-06,3347.6665,3366.8522,-1459.0
2017-01-09,3363.9014,3345.7483,39.4
2017-01-10,3358.2716,3361.6394,387.6
2017-01-11,3334.4954,3355.8008,1769.32
2017-01-12,3317.6241,3332.6857,1296.54
2017-01-13,3319.9122,3317.9625,1255.0
2017-01-16,3319.4455,3314.1507,-706.89
2017-01-17,3326.3563,3305.6001,1248.16
2017-01-18,3339.3653,3323.3389,1475.64
2017-01-19,3329.2891,3330.9522,1142.07
2017-01-20,3354.8891,3326.9773,1767.0
2017-01-23,3364.0808,3359.0543,1484.39
2017-01-24,3364.4509,3363.1374,1441.93
2017-01-25,3375.9042,3361.6561,279.36
2017-01-26,3387.9606,3378.2609,965.61
2017-02-03,3364.4923,3390.9315,1404.0
2017-02-06,3373.2051,3368.1081,2886.74
2017-02-07,3365.6849,3371.7695,1786.01
2017-02-08,3383.2878,3361.7811,1337.35
2017-02-09,3396.2924,3381.8992,2040.79
2017-02-10,3413.4868,3398.3173,1757.0
2017-02-13,3436.275,3416.9168,1810.18
2017-02-14,3435.8042,3438.511,1459.66
2017-02-15,3421.7131,3435.3882,2446.25
2017-02-16,3440.9331,3421.8299,2011.66
2017-02-17,3421.4419,3443.6166,1318.0
2017-02-20,3471.3926,3421.6434,1994.53
2017-02-21,3482.823,3475.0584,1462.38
2017-02-22,3489.7567,3483.2008,1223.71
2017-02-23,3473.3236,3487.5745,1542.8
2017-02-24,3473.8517,3468.9588,934.0
2017-02-27,3446.2228,3471.1319,518.66
2017-02-28,3452.8103,3445.0274,285.01
2017-03-01,3458.4376,3452.2058,1262.09
2017-03-02,3435.0963,3463.4829,507.8
2017-03-03,3427.8628,3424.6627,244.0
2017-03-06,3446.484,3427.2533,435.63
2017-03-07,3453.9565,3446.1628,451.69
2017-03-08,3448.7313,3452.2006,209.53
2017-03-09,3426.9438,3442.8953,-1797.32
2017-03-10,3427.8916,3423.9776,-724.0
2017-03-13,3458.098,3425.6723,873.1
2017-03-14,3456.6934,3456.6584,-886.43
2017-03-15,3463.6436,3452.2139,471.3
2017-03-16,3481.5066,3472.2694,1917.76
2017-03-17,3445.8051,3485.3114,1340.0
2017-03-20,3449.6126,3449.0515,1776.22
